,Compound_ID,IC50_uM,pIC50,Class,MW,LogP,TPSA,HBD,HBA,RotB,QED,MolMR
1,1d,0.48,6.318,Benzofuran,334.73,4.81,59.67,1.0,3.0,4.0,0.74,83.65
2,1c,0.49,6.309,Benzofuran,351.18,5.33,59.67,1.0,3.0,4.0,0.69,88.7
3,1b,0.65,6.186,Benzofuran,316.74,4.67,59.67,1.0,3.0,4.0,0.76,83.69
4,1e,1.44,5.841,Benzofuran,296.32,4.33,59.67,1.0,3.0,4.0,0.78,83.42
5,PDSinh-C01,1.8,5.744,Pyrazolothiophenesulfonamide,401.56,4.42,74.85,2.0,4.0,4.0,0.68,108.55
6,PDSinh-A01,2.5,5.602,Tetrahydropyrazolopyridine,414.87,4.38,59.39,1.0,3.0,4.0,0.69,108.52
7,1k,3.1,5.508,Benzofuran,282.3,4.02,59.67,1.0,3.0,4.0,0.78,78.68
8,Zhu-18,3.3,5.481,Pyrazolopyridine,494.95,5.24,75.19,2.0,5.0,8.0,0.53,132.84
9,Zhu-17/Zhu-19/Zhu-22,3.667,5.442,Pyrazolopyridine,556.97,6.12,75.19,2.0,5.0,8.0,0.35,141.52
10,1a,4.1,5.387,Benzofuran,361.19,4.78,59.67,1.0,3.0,4.0,0.73,86.38
11,YS-01,4.7,5.328,Oxazolone,327.41,4.57,46.61,0.0,4.0,2.0,0.76,91.41
12,1f,4.8,5.319,Benzofuran,316.74,4.67,59.67,1.0,3.0,4.0,0.76,83.69
13,1h,5.0,5.301,Benzofuran,316.74,4.67,59.67,1.0,3.0,4.0,0.76,83.69
14,1g,5.6,5.252,Benzofuran,351.18,5.33,59.67,1.0,3.0,4.0,0.69,88.7
15,1i,8.2,5.086,Benzofuran,361.19,4.78,59.67,1.0,3.0,4.0,0.73,86.38
16,NFA,15.5,4.81,Niflumic acid,282.22,3.54,62.22,2.0,3.0,3.0,0.9,65.92
